platform,category_group,lifespan_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
kalshi,Finance,7-30d,2564,20,0.025226209048361925,-0.01988299531981278,-0.02119941491955144,-0.00033536585365844955
kalshi,Finance,30-180d,2119,20,0.020821142048135944,0.00045304388862674465,-0.00905852417302799,0.012531645569620333
kalshi,Finance,>180d,765,20,0.026235294117647058,-0.0012156862745097972,-0.0005013927576601676,0.00949685534591197
kalshi,Media,1-6h,45,8,0.044222222222222225,-0.032222222222222215,-0.014333333333333332,0.012222222222222245
kalshi,Media,6-24h,594,16,0.038771043771043796,-0.027929292929292898,-0.028950437317784256,7.750613568137885e-17
kalshi,Media,1-7d,4931,20,0.029703914013384722,-0.023177854390590134,-0.02418959231024196,0.009615094339622684
kalshi,Media,7-30d,798,19,0.023333333333333352,-0.01819548872180449,-0.016680161943319834,0.0035315985130112094
kalshi,Media,30-180d,617,14,0.024764991896272282,-0.008330632090761755,-0.016133828996282528,0.010252365930599357
kalshi,Media,>180d,44,5,0.03113636363636365,0.0015909090909090999,-0.018571428571428572,0.022500000000000048
kalshi,Other,1-6h,95,12,0.04052631578947369,-0.023052631578947363,-0.021041666666666667,0.015897435897435905
kalshi,Other,6-24h,519,19,0.024701348747591542,-0.01714836223506746,-0.018376623376623376,-0.006338797814207708
kalshi,Other,1-7d,2672,20,0.02923652694610778,-0.01800898203592814,-0.018306982872200266,0.0053485424588086295
kalshi,Other,7-30d,2396,20,0.02793823038397328,-0.01675292153589317,-0.022506527415143605,0.013636363636363596
kalshi,Other,30-180d,3091,20,0.027935943060498233,-0.01887738595923647,-0.019423368740515933,0.00837357052096577
kalshi,Other,>180d,435,16,0.03432183908045978,0.001126436781609204,-0.01757894736842105,0.027343750000000028
kalshi,Politics,<=1h,16,4,0.061250000000000006,-0.049999999999999996,-0.022,0.018000000000000016
kalshi,Politics,1-6h,341,16,0.03161290322580647,-0.014545454545454526,-0.01543010752688172,0.01248175182481756
kalshi,Politics,6-24h,1646,18,0.01895504252733899,-0.006537059538274619,-0.013742757821552725,0.011271753681392207
kalshi,Politics,1-7d,1957,20,0.020224833929483876,-0.0054573326520184215,-0.015235404896421846,0.012982248520709994
kalshi,Politics,7-30d,1039,20,0.023397497593840248,-0.010846968238691032,-0.01736568457538995,0.013599033816425167
kalshi,Politics,30-180d,1806,20,0.017015503875969014,-0.006306755260243607,-0.01307877813504823,0.013657142857142937
kalshi,Politics,>180d,219,6,0.01621004566210044,-0.009178082191780842,-0.014431818181818183,0.01833333333333324
kalshi,Science/Tech,1-6h,1,1,0.010000000000000009,0.010000000000000009,,0.010000000000000009
kalshi,Science/Tech,6-24h,3,2,0.010000000000000007,0.003333333333333339,-0.01,0.010000000000000009
kalshi,Science/Tech,1-7d,75,19,0.1186666666666667,-0.017333333333333326,0.011176470588235291,0.018823529411764718
kalshi,Science/Tech,7-30d,145,18,0.06744827586206893,-0.031034482758620655,-1.4802973661668755e-18,-0.002195121951219384
kalshi,Science/Tech,30-180d,170,12,0.03600000000000002,0.002705882352941191,-0.02059322033898305,0.025581395348837254
kalshi,Science/Tech,>180d,32,5,0.023750000000000004,-0.001249999999999996,-0.017391304347826087,0.04000000000000001
kalshi,Sports,<=1h,227,12,0.04176211453744494,-0.03444933920704846,-0.026963350785340318,0.015000000000000013
kalshi,Sports,1-6h,61032,20,0.028875016384847293,-0.028875016384847293,-0.019320424833369595,-0.028284313725490166
kalshi,Sports,6-24h,107655,20,0.019307138544424316,-0.018132645952347776,-0.013616902079980927,0.0069041738700913605
kalshi,Sports,1-7d,121544,20,0.021827239518199176,-0.019699121305864542,-0.010225747633991141,0.005521215830273368
kalshi,Sports,7-30d,9441,20,0.025554496345726093,-0.020224552483847046,-0.01511311475409836,0.007455357142857159
kalshi,Sports,30-180d,1426,18,0.021977559607293123,-0.011122019635343624,-0.016394849785407725,0.014353448275862062
kalshi,Sports,>180d,130,4,0.013,-0.010846153846153844,-0.011565217391304346,0.010000000000000009
kalshi,Weather,<=1h,2,2,0.08499999999999999,-0.08499999999999999,-0.08499999999999999,
kalshi,Weather,1-6h,30,6,0.12966666666666665,0.012333333333333326,0.02923076923076923,
kalshi,Weather,6-24h,400,12,0.0366,-0.031000000000000007,-0.01957446808510638,-0.09730769230769233
kalshi,Weather,1-7d,29342,20,0.015385113489196349,-0.008187921750391952,-0.013410098240804202,0.008831145477432002
kalshi,Weather,7-30d,186,8,0.027365591397849463,-0.00951612903225807,-0.02254545454545455,0.022432432432432422
kalshi,Weather,30-180d,584,16,0.027397260273972567,-0.009760273972602778,-0.0200920245398773,0.013541666666666579
kalshi,Weather,>180d,16,3,0.01562499999999999,-0.0056250000000000085,-0.016999999999999998,0.013333333333333308
kalshi,World Events,1-6h,1,1,0.15,-0.15,,
kalshi,World Events,6-24h,5,2,0.010000000000000007,0.006000000000000007,-0.01,0.010000000000000009
kalshi,World Events,1-7d,34,5,0.02470588235294117,-0.002941176470588238,-0.0235,0.02642857142857142
kalshi,World Events,7-30d,75,8,0.026533333333333346,-0.012933333333333326,-0.017142857142857144,0.018125000000000044
kalshi,World Events,30-180d,113,13,0.05486725663716815,0.018053097345132742,-0.010724637681159423,0.037027027027027044
kalshi,World Events,>180d,8,1,0.01,-0.01,-0.01,
polymarket,Crypto,<=1h,36,4,0.025315471598975917,0.017482138265642586,-0.009399999999999999,0.012966632456162253
polymarket,Crypto,1-6h,17964,20,0.018288372458962206,-0.0042348510952273525,-0.013095875666487797,0.00865966249636995
polymarket,Crypto,6-24h,1996,20,0.018543619028373756,-0.0035719917827845534,0.00016504286293475876,0.0021831191536408885
polymarket,Crypto,1-7d,59877,20,0.008143614165393618,-0.001593237327746352,-0.00666788121615901,0.005347071598407728
polymarket,Crypto,7-30d,2392,20,0.009046220548983113,-0.003905331884463039,-0.0026474329068443122,0.001925650113774999
polymarket,Crypto,30-180d,1002,16,0.01162648458254718,0.003216711063142409,-0.00011008706474616757,0.0005268978190262359
polymarket,Crypto,>180d,207,12,0.014983943247179743,0.009549905299642152,-0.003151503718001222,0.006175369392895278
polymarket,Entertainment,<=1h,2,2,0.20500000000000002,-0.195,,0.010000000000000009
polymarket,Entertainment,1-6h,8,8,0.2850245114426719,0.09364215850149539,-0.07184313725490196,0.1166666666666667
polymarket,Entertainment,6-24h,11,9,0.28205383275021395,-0.17976427046065166,-0.08666666956667242,-0.4299999991299995
polymarket,Entertainment,1-7d,1205,20,0.019125821982056278,-0.007163713169741374,-0.003185217388092064,-0.012192785025275255
polymarket,Entertainment,7-30d,643,20,0.05855843684519341,-0.013099677084750528,0.02425115772085561,-0.014173828414266924
polymarket,Entertainment,30-180d,464,20,0.02771491156723437,0.0006443035139493647,-0.005173785655405249,0.014635315656303988
