platform,lifespan_bucket,horizon_label,horizon_hours,life_stage_index,life_stage_bucket,market_count,mean_abs_move_to_final_cents,median_abs_move_to_final_cents,p90_abs_move_to_final_cents,mean_signed_move_to_final_cents,median_staleness_age_hours
kalshi,>180d,6h,6.0,9,90-100%,1553,1.5035415325177077,0.0,1.0,0.31873792659368966,36.20777777777778
kalshi,>180d,1h,1.0,0,0-10%,9,0.0,0.0,0.0,0.0,5876.476944444445
kalshi,>180d,1h,1.0,1,10-20%,4,0.0,0.0,0.0,0.0,4780.191527777778
kalshi,>180d,1h,1.0,2,20-30%,19,0.0,0.0,0.0,0.0,6615.987222222222
kalshi,>180d,1h,1.0,3,30-40%,26,0.0,0.0,0.0,0.0,3709.4325
kalshi,>180d,1h,1.0,4,40-50%,13,0.0,0.0,0.0,0.0,3668.583611111111
kalshi,>180d,1h,1.0,5,50-60%,27,0.0,0.0,0.0,0.0,2723.5666666666666
kalshi,>180d,1h,1.0,6,60-70%,34,0.0,0.0,0.0,0.0,2222.956944444444
kalshi,>180d,1h,1.0,7,70-80%,49,0.02040816326530612,0.0,0.0,-0.02040816326530612,1509.8258333333333
kalshi,>180d,1h,1.0,8,80-90%,176,0.0,0.0,0.0,0.0,839.7430555555557
kalshi,>180d,1h,1.0,9,90-100%,1559,0.7036561898652983,0.0,0.0,0.13149454778704298,35.3475
polymarket,1-6h,1h,1.0,0,0-10%,335,38.863006663877606,48.000016830011276,49.99999982999994,1.5889593126065085,2.0380555555555557
polymarket,1-6h,1h,1.0,1,10-20%,533,27.322779939681627,44.00000017000006,49.99999530799859,0.7094001508436037,1.8161111111111112
polymarket,1-6h,1h,1.0,2,20-30%,641,26.019860403234468,34.00000214200013,49.99999715857118,-0.5709363079936323,1.5225
polymarket,1-6h,1h,1.0,3,30-40%,941,21.405431061994086,4.900000000000006,49.999983169988724,-0.9727282825445694,1.3097222222222222
polymarket,1-6h,1h,1.0,4,40-50%,1195,21.38007447093979,5.899999460000004,49.999983169988724,0.2510284587170355,0.9341666666666666
polymarket,1-6h,1h,1.0,5,50-60%,1697,25.06390085171728,23.0,49.999983169988724,-0.3156855499122375,0.565
polymarket,1-6h,1h,1.0,6,60-70%,4213,35.608711495553585,48.915577725966486,49.0,-0.5985809014772163,0.11583333333333323
polymarket,1-6h,1h,1.0,7,70-80%,1717,8.142844397942019,0.20000000000000284,32.0,0.43474042874742397,0.3586111111111112
polymarket,1-6h,1h,1.0,8,80-90%,808,13.192243940801925,3.0,45.00000025336539,-0.46768895022882484,0.0755555555555556
polymarket,1-7d,3d,72.0,0,0-10%,1436,13.023886507247452,3.0227837055617677,46.0,-2.1706603734898073,25.194999999999993
polymarket,1-7d,3d,72.0,1,10-20%,2035,11.542109463421049,3.999999420199977,37.11699644500158,-1.4318115094052277,17.879166666666663
polymarket,1-7d,3d,72.0,2,20-30%,2494,11.041746801861558,3.5,35.630001405476456,-1.1250203809821377,16.90083333333333
polymarket,1-7d,3d,72.0,3,30-40%,3251,9.292643974367516,2.999999368593322,26.999993844998862,-0.9969689553169181,12.296666666666667
polymarket,1-7d,3d,72.0,4,40-50%,5352,10.321652357122428,3.0,29.635500621950097,-1.0370844828146584,11.910000000000004
polymarket,1-7d,3d,72.0,5,50-60%,10637,14.813678993432406,5.0,46.0,-0.7019914207310903,1.4958333333333371
polymarket,1-7d,1d,24.0,0,0-10%,2078,28.945679247444467,34.00000732805255,50.899996392828704,-1.8261831792071583,5.496388888888889
polymarket,1-7d,1d,24.0,1,10-20%,2251,19.4223950628396,6.299999999999997,50.89999566499821,-0.5078142172445022,4.88111111111111
polymarket,1-7d,1d,24.0,2,20-30%,2366,18.03661003922001,5.569935878659612,49.900000000000006,-0.5339394454398263,9.371666666666666
polymarket,1-7d,1d,24.0,3,30-40%,2990,13.583827565983654,2.9999916399989957,49.0,-0.42210213115915407,6.476944444444445
polymarket,1-7d,1d,24.0,4,40-50%,6112,17.54097816527297,5.0,49.9999956649982,-0.15125493404339274,1.7884722222222234
