platform,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,ci_lower,ci_upper
polymarket,45,47.5,45-50,10960,5069.0,0.4625,0.4721750409457923,-0.009675040945792301,0.4531801618500612,0.471846117259991
polymarket,50,52.5,50-55,12329,6191.0,0.5021494038445941,0.5196440175055025,-0.01749461366090843,0.4933242266009441,0.5109732420375892
polymarket,55,57.5,55-60,6541,3632.0,0.5552667787800031,0.5683025930445496,-0.013035814264546475,0.5431948318991087,0.5672738462122149
polymarket,60,62.5,60-65,3400,2032.0,0.5976470588235294,0.6196173342590066,-0.021970275435477138,0.5810625486791791,0.6140111586284701
polymarket,65,67.5,65-70,2484,1651.0,0.6646537842190016,0.6717574795311039,-0.007103695312102309,0.6458458595246186,0.6829532087118799
polymarket,70,72.5,70-75,2162,1537.0,0.7109158186864015,0.7203337385200673,-0.0094179198336658,0.6914454960716585,0.7296379294198456
polymarket,75,77.5,75-80,2036,1567.0,0.7696463654223968,0.7700388697570211,-0.00039250433462423295,0.750858862480188,0.7874182272703103
polymarket,80,82.5,80-85,1929,1558.0,0.8076723691031623,0.8207569801743091,-0.013084611071146779,0.7894792236502982,0.8246424922730345
polymarket,85,87.5,85-90,1740,1499.0,0.8614942528735632,0.872614671042102,-0.011120418168538815,0.8444653797945125,0.8769304167044354
polymarket,90,92.5,90-95,2402,2161.0,0.8996669442131557,0.9234068955566025,-0.023739951343446752,0.8870061702704519,0.9110513577064523
polymarket,95,97.5,95-100,62917,62314.0,0.9904159448161864,0.9928885181140891,-0.002472573297902625,0.9896241378760527,0.9911478675638746
pooled,0,2.5,0-5,367700,2129.0,0.0057900462333423984,0.012705768745875414,-0.006915722512533016,0.005549917562707082,0.006040501458903705
pooled,5,7.5,5-10,76897,2599.0,0.03379845767715255,0.06734004506679052,-0.033541587389637965,0.03254429364068087,0.035099200133514696
pooled,10,12.5,10-15,35062,2222.0,0.06337345274085905,0.11822069171038226,-0.054847238969523204,0.06087077561560037,0.06597179815567908
pooled,15,17.5,15-20,23458,2390.0,0.1018842186034615,0.1685135667663722,-0.06662934816291069,0.09807811075811709,0.10582069998144564
pooled,20,22.5,20-25,18523,2768.0,0.14943583652756032,0.21862721915206507,-0.06919138262450475,0.14437424384093211,0.15464281042049144
pooled,25,27.5,25-30,16422,3464.0,0.21093654853245647,0.2699297357687146,-0.05899318723625813,0.20476465561877139,0.21724365109715366
pooled,30,32.5,30-35,12589,3126.0,0.24831201842878703,0.31883620832545645,-0.07052418989666942,0.2408424939024188,0.2559351039353877
pooled,35,37.5,35-40,10451,3103.0,0.29690938666156347,0.3698721760803652,-0.07296278941880174,0.2882254917956932,0.30574253159358517
pooled,40,42.5,40-45,12113,4405.0,0.3636588788904483,0.42178377898212543,-0.058124900091677145,0.3551364818944268,0.3722677287870101
pooled,45,47.5,45-50,15577,6759.0,0.4339089683507736,0.4712979680789551,-0.03738899972818149,0.42614303449572627,0.4417074929109576
pooled,50,52.5,50-55,16326,7971.0,0.4882396177875781,0.5186635484396264,-0.030423930652048292,0.48057556996402595,0.49590919887782237
pooled,55,57.5,55-60,9172,4957.0,0.5404491931966856,0.568556177617139,-0.02810698442045334,0.5302351294161749,0.5506293876870847
pooled,60,62.5,60-65,5776,3465.0,0.5998961218836565,0.619080494543044,-0.01918437265938755,0.5871989936990692,0.6124604571758475
pooled,65,67.5,65-70,4789,3220.0,0.6723741908540405,0.6708009144195577,0.0015732764344827954,0.6589474784845513,0.6855245775082861
pooled,70,72.5,70-75,4507,3383.0,0.7506101619702684,0.7193702113779422,0.031239950592326204,0.7377686940074807,0.7630247721164461
pooled,75,77.5,75-80,4937,3946.0,0.7992708122341503,0.7696716910725734,0.029599121161576925,0.7878668654917453,0.810209381275607
pooled,80,82.5,80-85,5479,4742.0,0.8654864026282169,0.81948169643297,0.04600470619524688,0.8561950554451109,0.8742655874448827
pooled,85,87.5,85-90,6806,6207.0,0.9119894210990303,0.8712796837515806,0.04070973734744965,0.9050240048511106,0.9184900105115962
pooled,90,92.5,90-95,13012,12398.0,0.9528127881955119,0.922775389112124,0.030037399083387872,0.9490338858854901,0.9563243969012336
pooled,95,97.5,95-100,151414,150119.0,0.9914472902109448,0.9873105320127867,0.004136758198158064,0.9909708291362077,0.9918988144104744
