platform,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,7d,168.0,all,50,52.5,50-55,524,267,0.5095419847328244,0.5194274809160305,-0.00988549618320611,0.4668248259019954,0.5521202515606374
kalshi,7d,168.0,all,55,57.5,55-60,486,266,0.5473251028806584,0.5686008230452675,-0.021275720164609102,0.5028721335579385,0.5910357746311576
kalshi,7d,168.0,all,60,62.5,60-65,485,295,0.6082474226804123,0.6198969072164948,-0.0116494845360825,0.564115285889239,0.6506782177732969
kalshi,7d,168.0,all,65,67.5,65-70,539,337,0.6252319109461967,0.6701855287569574,-0.04495361781076068,0.5836147464193419,0.6650765845324497
kalshi,7d,168.0,all,70,72.5,70-75,515,347,0.6737864077669903,0.7193009708737864,-0.045514563106796135,0.6321377576934317,0.7128615638721483
kalshi,7d,168.0,all,75,77.5,75-80,524,410,0.7824427480916031,0.7693511450381679,0.013091603053435152,0.745129225916404,0.815645066977525
kalshi,7d,168.0,all,80,82.5,80-85,605,488,0.8066115702479338,0.8192892561983471,-0.012677685950413298,0.7732446910186154,0.8361092033276315
kalshi,7d,168.0,all,85,87.5,85-90,674,592,0.8783382789317508,0.8700148367952523,0.008323442136498493,0.8514915166529878,0.9008966519102873
kalshi,7d,168.0,all,90,92.5,90-95,1021,961,0.941234084231146,0.9201273261508325,0.02110675808031348,0.925086217005126,0.9540740356622129
kalshi,7d,168.0,all,95,97.5,95-100,2578,2536,0.9837083010085338,0.9775368502715283,0.006171450737005535,0.9780525878113938,0.9879245658606207
kalshi,7d,168.0,<=1h,0,2.5,0-5,390,2,0.005128205128205128,0.020974358974358974,-0.015846153846153847,0.0014074377123325967,0.01850310500331755
kalshi,7d,168.0,<=1h,5,7.5,5-10,224,6,0.026785714285714284,0.06723214285714285,-0.040446428571428564,0.012332530267932566,0.057196475848597515
kalshi,7d,168.0,<=1h,10,12.5,10-15,135,12,0.08888888888888889,0.12118518518518519,-0.032296296296296295,0.05157885461025679,0.14894894109362447
kalshi,7d,168.0,<=1h,15,17.5,15-20,151,23,0.152317880794702,0.16980132450331126,-0.01748344370860927,0.10369187215469948,0.21819578594234934
kalshi,7d,168.0,<=1h,20,22.5,20-25,172,37,0.21511627906976744,0.2177906976744186,-0.002674418604651174,0.16028767638500901,0.28239255400415936
kalshi,7d,168.0,<=1h,25,27.5,25-30,147,34,0.23129251700680273,0.2687074829931973,-0.03741496598639457,0.17049783388893874,0.3057739638114304
kalshi,7d,168.0,<=1h,30,32.5,30-35,133,42,0.3157894736842105,0.3184962406015038,-0.0027067669172932685,0.24290672937283575,0.39901502541518186
kalshi,7d,168.0,<=1h,35,37.5,35-40,129,49,0.3798449612403101,0.36992248062015504,0.00992248062015505,0.30071077692282255,0.4659285890589181
kalshi,7d,168.0,<=1h,40,42.5,40-45,139,58,0.4172661870503597,0.4179136690647482,-0.0006474820143884674,0.33859380424958263,0.5003886770443821
kalshi,7d,168.0,<=1h,45,47.5,45-50,142,59,0.4154929577464789,0.47049295774647887,-0.05499999999999999,0.337706015033418,0.49773188471535046
kalshi,7d,168.0,<=1h,50,52.5,50-55,136,65,0.47794117647058826,0.5178676470588236,-0.03992647058823534,0.3957536153824567,0.5613406970395979
kalshi,7d,168.0,<=1h,55,57.5,55-60,160,99,0.61875,0.5688125,0.04993749999999997,0.5415420671016985,0.6903892616939188
kalshi,7d,168.0,<=1h,60,62.5,60-65,157,93,0.5923566878980892,0.6195541401273885,-0.027197452229299368,0.5141756128359456,0.6661260006769765
kalshi,7d,168.0,<=1h,65,67.5,65-70,158,101,0.6392405063291139,0.6701898734177214,-0.030949367088607516,0.5618751766061463,0.7099955908603146
kalshi,7d,168.0,<=1h,70,72.5,70-75,138,96,0.6956521739130435,0.7205797101449275,-0.02492753623188404,0.614443674944552,0.7662626904658777
kalshi,7d,168.0,<=1h,75,77.5,75-80,143,105,0.7342657342657343,0.769090909090909,-0.034825174825174776,0.6564279437044778,0.7998460277041695
kalshi,7d,168.0,<=1h,80,82.5,80-85,136,107,0.7867647058823529,0.8197794117647059,-0.033014705882353,0.7105439206013697,0.8472300179119194
kalshi,7d,168.0,<=1h,85,87.5,85-90,117,99,0.8461538461538461,0.867948717948718,-0.02179487179487183,0.769884730178067,0.9004142397130962
kalshi,7d,168.0,<=1h,90,92.5,90-95,139,126,0.9064748201438849,0.9202158273381295,-0.013741007194244537,0.8465579345099937,0.94452813565444
kalshi,7d,168.0,<=1h,95,97.5,95-100,186,182,0.978494623655914,0.9723655913978494,0.006129032258064604,0.9460176960216709,0.9916060913884648
kalshi,7d,168.0,<=6h,0,2.5,0-5,942,8,0.008492569002123142,0.02029723991507431,-0.011804670912951168,0.0043094271670307775,0.016668292569550908
kalshi,7d,168.0,<=6h,5,7.5,5-10,519,24,0.046242774566473986,0.06811175337186898,-0.02186897880539499,0.031269008479947305,0.06788454012827361
kalshi,7d,168.0,<=6h,10,12.5,10-15,332,29,0.08734939759036145,0.11801204819277109,-0.030662650602409636,0.06150540744609897,0.12263378198129779
kalshi,7d,168.0,<=6h,15,17.5,15-20,338,51,0.15088757396449703,0.1700887573964497,-0.01920118343195268,0.11666373738130456,0.19295802895725692
kalshi,7d,168.0,<=6h,20,22.5,20-25,337,65,0.19287833827893175,0.21765578635014837,-0.024777448071216623,0.15430896649359493,0.2383708002954355
kalshi,7d,168.0,<=6h,25,27.5,25-30,304,87,0.28618421052631576,0.26786184210526315,0.018322368421052615,0.23829165069796268,0.3394132468857297
kalshi,7d,168.0,<=6h,30,32.5,30-35,256,73,0.28515625,0.31796875,-0.03281250000000002,0.23334375359169546,0.3433214147262337
kalshi,7d,168.0,<=6h,35,37.5,35-40,244,88,0.36065573770491804,0.3690983606557377,-0.008442622950819656,0.30299290327177575,0.4226383063395245
kalshi,7d,168.0,<=6h,40,42.5,40-45,253,102,0.4031620553359684,0.4189723320158103,-0.015810276679841917,0.3446012501545621,0.46461968601777126
kalshi,7d,168.0,<=6h,45,47.5,45-50,285,123,0.43157894736842106,0.46992982456140353,-0.03835087719298247,0.37536127919836865,0.4896166187221525
kalshi,7d,168.0,<=6h,50,52.5,50-55,266,135,0.5075187969924813,0.518609022556391,-0.011090225563909706,0.447760002161868,0.5670635091128948
kalshi,7d,168.0,<=6h,55,57.5,55-60,267,156,0.5842696629213483,0.5693632958801498,0.01490636704119852,0.5243658931938201,0.6417828815881926
kalshi,7d,168.0,<=6h,60,62.5,60-65,271,166,0.6125461254612546,0.6198523985239852,-0.007306273062730573,0.5533552780817975,0.6685907446454752
kalshi,7d,168.0,<=6h,65,67.5,65-70,284,185,0.6514084507042254,0.6706338028169014,-0.019225352112676064,0.5942997455271726,0.7044756920746196
kalshi,7d,168.0,<=6h,70,72.5,70-75,263,173,0.6577946768060836,0.7200760456273764,-0.06228136882129276,0.5985507254622333,0.7124952283920383
kalshi,7d,168.0,<=6h,75,77.5,75-80,239,176,0.7364016736401674,0.7693723849372386,-0.03297071129707119,0.6771214255615018,0.7882024728150533
kalshi,7d,168.0,<=6h,80,82.5,80-85,252,199,0.7896825396825397,0.8191269841269841,-0.029444444444444495,0.7352053449088992,0.835460254430692
kalshi,7d,168.0,<=6h,85,87.5,85-90,241,208,0.8630705394190872,0.8687551867219916,-0.005684647302904411,0.8139376418136411,0.900810178818147
kalshi,7d,168.0,<=6h,90,92.5,90-95,282,257,0.9113475177304965,0.9197872340425532,-0.008439716312056755,0.8724067122558754,0.9392316217025127
kalshi,7d,168.0,<=6h,95,97.5,95-100,459,450,0.9803921568627451,0.9734640522875817,0.006928104575163352,0.963159021193859,0.98965075217137
kalshi,7d,168.0,<=24h,0,2.5,0-5,2041,20,0.009799118079372856,0.019970602645761882,-0.010171484566389026,0.006352312985947242,0.015087782911945291
kalshi,7d,168.0,<=24h,5,7.5,5-10,983,44,0.044760935910478125,0.06755849440488301,-0.022797558494404888,0.03351052259417075,0.059555679722391515
kalshi,7d,168.0,<=24h,10,12.5,10-15,613,68,0.11092985318107668,0.11822185970636216,-0.007292006525285485,0.08845132193577454,0.13825452929086132
kalshi,7d,168.0,<=24h,15,17.5,15-20,574,91,0.15853658536585366,0.16975609756097562,-0.011219512195121961,0.130939660226772,0.19067373693951029
kalshi,7d,168.0,<=24h,20,22.5,20-25,549,100,0.18214936247723132,0.21772313296903462,-0.0355737704918033,0.1521082194467106,0.21660788295947586
kalshi,7d,168.0,<=24h,25,27.5,25-30,485,136,0.2804123711340206,0.2681649484536083,0.012247422680412345,0.24227962091217056,0.3219964145152563
kalshi,7d,168.0,<=24h,30,32.5,30-35,401,109,0.2718204488778055,0.31768079800498755,-0.045860349127182065,0.230593129579259,0.3173782251431805
kalshi,7d,168.0,<=24h,35,37.5,35-40,375,133,0.3546666666666667,0.36848,-0.013813333333333289,0.307942006670616,0.40433879881642665
kalshi,7d,168.0,<=24h,40,42.5,40-45,379,156,0.41160949868073876,0.4194195250659631,-0.007810026385224322,0.36319129451882093,0.46180160071513476
kalshi,7d,168.0,<=24h,45,47.5,45-50,401,177,0.44139650872817954,0.4700249376558604,-0.02862842892768086,0.3935789984553696,0.4903262128667869
kalshi,7d,168.0,<=24h,50,52.5,50-55,392,206,0.5255102040816326,0.5194387755102041,0.0060714285714285054,0.47606945344385465,0.5744558071654394
kalshi,7d,168.0,<=24h,55,57.5,55-60,383,221,0.577023498694517,0.5690600522193211,0.007963446475195868,0.5270210154054489,0.6254961906034189
kalshi,7d,168.0,<=24h,60,62.5,60-65,385,236,0.612987012987013,0.6197662337662337,-0.006779220779220774,0.5634453113190927,0.6602961813607029
kalshi,7d,168.0,<=24h,65,67.5,65-70,427,272,0.6370023419203747,0.669976580796253,-0.03297423887587825,0.5903576579838835,0.6812038625378117
kalshi,7d,168.0,<=24h,70,72.5,70-75,387,255,0.6589147286821705,0.7197416020671835,-0.060826873385013025,0.6103263773295904,0.7043791197311113
kalshi,7d,168.0,<=24h,75,77.5,75-80,369,284,0.7696476964769647,0.7690243902439025,0.0006233062330622818,0.7240389930047109,0.8096997314294723
kalshi,7d,168.0,<=24h,80,82.5,80-85,432,334,0.7731481481481481,0.8189120370370371,-0.04576388888888894,0.7313486625495026,0.8101324627033416
kalshi,7d,168.0,<=24h,85,87.5,85-90,411,348,0.8467153284671532,0.8693917274939174,-0.022676399026764105,0.8086879100129999,0.8783213002494231
kalshi,7d,168.0,<=24h,90,92.5,90-95,574,532,0.926829268292683,0.920383275261324,0.006445993031358954,0.9025694202553497,0.9454138332867975
kalshi,7d,168.0,<=24h,95,97.5,95-100,1028,1009,0.9815175097276264,0.9741050583657588,0.0074124513618676335,0.9713132971177093,0.9881362928193508
kalshi,3d,72.0,all,0,2.5,0-5,20529,277,0.01349310731160797,0.015725558965366065,-0.002232451653758096,0.012003396480098134,0.015164864536438418
kalshi,3d,72.0,all,5,7.5,5-10,6367,395,0.06203863672059055,0.06793623370504162,-0.005897596984451074,0.05637330300593989,0.06823214943538278
kalshi,3d,72.0,all,10,12.5,10-15,3909,426,0.10897927858787414,0.11822205167562036,-0.009242773087746223,0.09959167991512807,0.11913467997636354
kalshi,3d,72.0,all,15,17.5,15-20,2729,403,0.1476731403444485,0.16884206669109564,-0.021168926346647132,0.13485763140399348,0.16147919250852305
kalshi,3d,72.0,all,20,22.5,20-25,2350,468,0.19914893617021276,0.21908510638297873,-0.019936170212765975,0.1834988332256619,0.21578105034849193
kalshi,3d,72.0,all,25,27.5,25-30,2106,536,0.25451092117758783,0.26883190883190883,-0.014320987654320994,0.2363657178066664,0.2735500976744579
kalshi,3d,72.0,all,30,32.5,30-35,1719,507,0.2949389179755672,0.31810936591041306,-0.02317044793484585,0.2738579000165903,0.3169344281928051
kalshi,3d,72.0,all,35,37.5,35-40,1496,524,0.3502673796791444,0.36903074866310165,-0.01876336898395725,0.32650433133352064,0.3747974594689215
kalshi,3d,72.0,all,40,42.5,40-45,1375,591,0.4298181818181818,0.41928727272727273,0.01053090909090909,0.4038824700710916,0.45614496165130486
kalshi,3d,72.0,all,45,47.5,45-50,1690,758,0.4485207100591716,0.4701065088757397,-0.02158579881656808,0.4249520596592451,0.4723228685276645
kalshi,3d,72.0,all,50,52.5,50-55,1526,757,0.49606815203145477,0.5175950196592398,-0.02152686762778505,0.4710233114272684,0.5211327392383691
kalshi,3d,72.0,all,55,57.5,55-60,1224,655,0.5351307189542484,0.5683496732026144,-0.03321895424836607,0.5071221252666899,0.5629194827061953
kalshi,3d,72.0,all,60,62.5,60-65,1060,638,0.6018867924528302,0.6183962264150944,-0.01650943396226423,0.5721009329592154,0.6309368125096589
kalshi,3d,72.0,all,65,67.5,65-70,1000,635,0.635,0.6701900000000001,-0.035190000000000055,0.6046966883157053,0.6642700490659693
kalshi,3d,72.0,all,70,72.5,70-75,889,624,0.7019122609673791,0.7195275590551181,-0.017615298087738984,0.6710267055881697,0.7310602939423182
kalshi,3d,72.0,all,75,77.5,75-80,860,660,0.7674418604651163,0.770093023255814,-0.0026511627906976587,0.7380547841306135,0.7944502491995711
kalshi,3d,72.0,all,80,82.5,80-85,895,729,0.8145251396648044,0.8188826815642458,-0.004357541899441375,0.7877350748820169,0.8386266778450486
kalshi,3d,72.0,all,85,87.5,85-90,936,811,0.8664529914529915,0.8697649572649573,-0.0033119658119658,0.8431556443611785,0.8867545873204155
kalshi,3d,72.0,all,90,92.5,90-95,1423,1337,0.9395643007730148,0.9198735066760365,0.01969079409697827,0.9259597702479485,0.9508018829026186
kalshi,3d,72.0,all,95,97.5,95-100,4246,4160,0.9797456429580782,0.9782618935468677,0.0014837494112105443,0.9750545242499735,0.9835694395231704
kalshi,3d,72.0,<=1h,0,2.5,0-5,1621,22,0.013571869216533004,0.019389265885256014,-0.00581739666872301,0.008979540804505092,0.020464313907240343
