category_group,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Esports,15,17.5,15-20,523,43,0.08221797323135756,0.16875717017208414,-0.08653919694072658,0.06161052384172029,0.10891815119077523
Esports,20,22.5,20-25,386,50,0.12953367875647667,0.21870466321243523,-0.08917098445595856,0.09965165769948582,0.16671704179282082
Esports,25,27.5,25-30,339,56,0.16519174041297935,0.2703834808259587,-0.10519174041297935,0.1294552715625518,0.20843137929895397
Esports,30,32.5,30-35,242,43,0.17768595041322313,0.31797520661157025,-0.14028925619834712,0.13467478472885694,0.2307702823387183
Esports,35,37.5,35-40,184,47,0.2554347826086957,0.37081521739130435,-0.11538043478260868,0.19786968372834624,0.3230032219538882
Esports,40,42.5,40-45,162,39,0.24074074074074073,0.42203703703703704,-0.18129629629629632,0.1813999863813123,0.3120925993149183
Esports,45,47.5,45-50,141,51,0.3617021276595745,0.46808510638297873,-0.10638297872340424,0.2870320321093272,0.4437083076825558
Esports,50,52.5,50-55,100,37,0.37,0.5164,-0.14639999999999997,0.28182212569509163,0.46779652424866885
Esports,55,57.5,55-60,63,32,0.5079365079365079,0.5666666666666667,-0.058730158730158744,0.38762677115387556,0.6273339718564653
Esports,60,62.5,60-65,46,25,0.5434782608695652,0.6191304347826087,-0.07565217391304346,0.4017993496608042,0.67845489578878
Esports,65,67.5,65-70,30,17,0.5666666666666667,0.6696666666666666,-0.10299999999999998,0.3919700954540873,0.7262276256938489
Esports,70,72.5,70-75,23,17,0.7391304347826086,0.7208695652173912,0.01826086956521744,0.5352960945624944,0.8745155411075104
Esports,75,77.5,75-80,13,11,0.8461538461538461,0.7692307692307692,0.07692307692307698,0.5776482949136899,0.9567427368172621
Esports,80,82.5,80-85,11,8,0.7272727272727273,0.8181818181818181,-0.09090909090909083,0.4343497069897537,0.9025411942607853
Esports,85,87.5,85-90,22,22,1.0,0.8631818181818182,0.13681818181818184,0.8513404742740388,1.0
Esports,90,92.5,90-95,9,8,0.8888888888888888,0.9144444444444444,-0.025555555555555554,0.5649937852319399,0.9801096286728695
Esports,95,97.5,95-100,106,104,0.9811320754716981,0.9881132075471699,-0.0069811320754717965,0.9337994255846298,0.9948104999809118
Finance,0,2.5,0-5,22580,139,0.006155890168290523,0.01816253321523472,-0.012006643046944198,0.005216297519227731,0.00726349245591981
Finance,5,7.5,5-10,6144,104,0.016927083333333332,0.06539713541666667,-0.04847005208333334,0.013990222365564025,0.020467659568153974
Finance,10,12.5,10-15,3066,97,0.031637312459230266,0.11596216568819308,-0.08432485322896281,0.02600394343174426,0.03844289968876071
Finance,15,17.5,15-20,1794,99,0.05518394648829431,0.16741360089186177,-0.11222965440356747,0.04553666223985955,0.06673218280188384
Finance,20,22.5,20-25,1330,130,0.09774436090225563,0.21717293233082707,-0.11942857142857144,0.08292355005147017,0.11488224637893052
Finance,25,27.5,25-30,936,118,0.12606837606837606,0.2668162393162393,-0.14074786324786326,0.1063206194966694,0.1488730216445612
Finance,30,32.5,30-35,811,180,0.2219482120838471,0.317731196054254,-0.09578298397040688,0.19469586134580066,0.25182233311064334
Finance,35,37.5,35-40,660,156,0.23636363636363636,0.3678636363636364,-0.13150000000000003,0.20553432303313912,0.2702442361894224
Finance,40,42.5,40-45,596,179,0.30033557046979864,0.41711409395973154,-0.1167785234899329,0.2649072211427253,0.33832136453722755
Finance,45,47.5,45-50,608,263,0.43256578947368424,0.4689473684210526,-0.036381578947368376,0.3937296100338455,0.47224877391389536
Finance,50,52.5,50-55,752,381,0.5066489361702128,0.5136303191489362,-0.006981382978723416,0.4709722885212194,0.5422579967660682
Finance,55,57.5,55-60,518,318,0.6138996138996139,0.5683976833976834,0.04550193050193052,0.5712806893579411,0.654841566897597
Finance,60,62.5,60-65,576,409,0.7100694444444444,0.6177083333333333,0.09236111111111112,0.6717198084161317,0.7456355520823216
Finance,65,67.5,65-70,643,501,0.7791601866251944,0.6688491446345256,0.11031104199066877,0.7454917510151021,0.8095127508598544
Finance,70,72.5,70-75,746,618,0.8284182305630027,0.7192627345844503,0.10915549597855234,0.7996976936623817,0.8537736528193286
Finance,75,77.5,75-80,983,838,0.8524923702950152,0.7688301119023397,0.08366225839267549,0.8289525897144391,0.873287769832625
Finance,80,82.5,80-85,1253,1150,0.9177972865123704,0.8182761372705507,0.09952114924181965,0.9012810571429857,0.9317594787527073
Finance,85,87.5,85-90,1851,1737,0.9384116693679092,0.871010264721772,0.0674014046461372,0.9265252647404809,0.9484820674220067
Finance,90,92.5,90-95,3497,3418,0.9774092078924793,0.9216985987989706,0.05571060909350867,0.9719351656481278,0.9818354933842602
Finance,95,97.5,95-100,13885,13683,0.985451926539431,0.9774872164205978,0.007964710118833263,0.9833217992230583,0.9873135055960276
Media,0,2.5,0-5,3370,6,0.0017804154302670622,0.01570919881305638,-0.013928783382789318,0.0008162167108041675,0.003879202303532486
Media,5,7.5,5-10,590,7,0.011864406779661017,0.06489830508474577,-0.05303389830508475,0.0057586792982793795,0.024285696171542876
Media,10,12.5,10-15,228,8,0.03508771929824561,0.11552631578947369,-0.08043859649122807,0.017884537496209794,0.06769803267238808
Media,15,17.5,15-20,152,10,0.06578947368421052,0.16598684210526315,-0.10019736842105263,0.03612441662263905,0.11686169234954807
Media,20,22.5,20-25,107,5,0.04672897196261682,0.2160747663551402,-0.16934579439252337,0.020122360456377365,0.10475494192828685
Media,25,27.5,25-30,51,6,0.11764705882352941,0.26529411764705885,-0.14764705882352944,0.05504998764172768,0.23381102297794787
Media,30,32.5,30-35,58,9,0.15517241379310345,0.31948275862068964,-0.1643103448275862,0.08384397416750201,0.26934223058787304
Media,35,37.5,35-40,45,9,0.2,0.3628888888888889,-0.16288888888888892,0.10896004402509006,0.3382325131392944
Media,40,42.5,40-45,25,5,0.2,0.42,-0.21999999999999997,0.08860454100652487,0.3913133553653824
Media,45,47.5,45-50,31,12,0.3870967741935484,0.4703225806451613,-0.08322580645161293,0.23732875351271562,0.5617619885886803
Media,50,52.5,50-55,30,14,0.4666666666666667,0.5186666666666667,-0.052000000000000046,0.30232127224128236,0.6385798671847496
Media,55,57.5,55-60,25,14,0.56,0.5724,-0.012399999999999967,0.37067017019564436,0.7333462505299744
Media,60,62.5,60-65,33,20,0.6060606060606061,0.6203030303030304,-0.014242424242424279,0.4368314280651038,0.7531711776849179
Media,65,67.5,65-70,32,15,0.46875,0.66875,-0.19999999999999996,0.30869129901682335,0.6355076206742619
Media,70,72.5,70-75,27,22,0.8148148148148148,0.7166666666666667,0.0981481481481481,0.6330094349480825,0.9181941342571468
Media,75,77.5,75-80,42,31,0.7380952380952381,0.7697619047619049,-0.03166666666666673,0.5893098001502445,0.8469751462739642
Media,80,82.5,80-85,43,36,0.8372093023255814,0.8218604651162791,0.015348837209302357,0.7002730466408176,0.9188347549714246
Media,85,87.5,85-90,65,56,0.8615384615384616,0.8703076923076923,-0.008769230769230751,0.7573167852534054,0.9254099381231576
Media,90,92.5,90-95,143,133,0.9300699300699301,0.9205594405594405,0.009510489510489606,0.8760619719770455,0.9615753188179337
Media,95,97.5,95-100,1932,1921,0.9943064182194618,0.9857971014492753,0.008509316770186404,0.9898331266138344,0.9968178473088255
Other,0,2.5,0-5,4663,14,0.0030023589963542783,0.014726570877117736,-0.011724211880763457,0.001789312246474742,0.005033631990587001
Other,5,7.5,5-10,700,11,0.015714285714285715,0.0642,-0.04848571428571428,0.008796771492359844,0.027918307582250133
Other,10,12.5,10-15,305,11,0.036065573770491806,0.1139016393442623,-0.07783606557377049,0.020255495880327025,0.06341716997815836
Other,15,17.5,15-20,156,17,0.10897435897435898,0.16673076923076924,-0.05775641025641026,0.0691586206056862,0.1675857563274776
Other,20,22.5,20-25,113,11,0.09734513274336283,0.21699115044247785,-0.11964601769911502,0.05522791315533354,0.16593989009282467
Other,25,27.5,25-30,79,15,0.189873417721519,0.2656962025316456,-0.07582278481012661,0.11858126823689083,0.28992846600291133
Other,30,32.5,30-35,71,11,0.15492957746478872,0.31732394366197186,-0.16239436619718314,0.08877213299311604,0.2565117732836071
Other,35,37.5,35-40,64,19,0.296875,0.36734375,-0.07046875000000002,0.19904999589075245,0.4177043259412798
Other,40,42.5,40-45,61,18,0.29508196721311475,0.4163934426229508,-0.12131147540983606,0.19554865403985322,0.4188963935838945
Other,45,47.5,45-50,36,13,0.3611111111111111,0.4677777777777778,-0.10666666666666669,0.2247538679218132,0.5242521960916802
Other,50,52.5,50-55,64,27,0.421875,0.51046875,-0.08859375000000003,0.3086959366145158,0.5439018794747275
Other,55,57.5,55-60,54,24,0.4444444444444444,0.5681481481481482,-0.12370370370370376,0.3200225687559781,0.5762458608863554
Other,60,62.5,60-65,42,22,0.5238095238095238,0.6192857142857143,-0.09547619047619049,0.3772221394020704,0.6664063552403504
Other,65,67.5,65-70,57,38,0.6666666666666666,0.6643859649122806,0.002280701754385994,0.5372226902277747,0.7750636401777372
Other,70,72.5,70-75,54,41,0.7592592592592593,0.7203703703703703,0.03888888888888897,0.6305222087076177,0.8535584529614926
Other,75,77.5,75-80,67,53,0.7910447761194029,0.768955223880597,0.022089552238805932,0.679279673204875,0.8712443127017108
Other,80,82.5,80-85,80,67,0.8375,0.81975,0.017750000000000044,0.7415689513651669,0.9025027266562451
Other,85,87.5,85-90,115,99,0.8608695652173913,0.8708695652173912,-0.009999999999999898,0.7858972033092355,0.9125114347434329
Other,90,92.5,90-95,210,203,0.9666666666666667,0.9203809523809524,0.04628571428571426,0.9328047959061996,0.9837614849297089
Other,95,97.5,95-100,2217,2196,0.9905277401894452,0.9843933243121334,0.006134415877311783,0.9855622102777609,0.9937962455436719
Politics,0,2.5,0-5,3894,2,0.0005136106831022085,0.012046738572162301,-0.011533127889060094,0.00014085892765921214,0.00187092113030928
Politics,5,7.5,5-10,169,2,0.011834319526627219,0.06301775147928995,-0.051183431952662735,0.0032513513834124576,0.04211735614995914
Politics,10,12.5,10-15,55,0,0.0,0.11636363636363636,-0.11636363636363636,0.0,0.06528714378942788
Politics,15,17.5,15-20,29,3,0.10344827586206896,0.16448275862068965,-0.06103448275862068,0.035814240381301043,0.26385447247069155
Politics,20,22.5,20-25,17,2,0.11764705882352941,0.21470588235294116,-0.09705882352941175,0.03287908001292092,0.3433684249770991
Politics,25,27.5,25-30,14,1,0.07142857142857142,0.27071428571428574,-0.19928571428571432,0.012721886112291636,0.3146926955395781
Politics,30,32.5,30-35,14,1,0.07142857142857142,0.3192857142857143,-0.24785714285714286,0.012721886112291636,0.3146926955395781
Politics,35,37.5,35-40,19,0,0.0,0.36631578947368415,-0.36631578947368415,0.0,0.16818436536845052
Politics,40,42.5,40-45,10,2,0.2,0.419,-0.21899999999999997,0.056680947980693314,0.5098431532792765
Politics,45,47.5,45-50,14,2,0.14285714285714285,0.4707142857142857,-0.32785714285714285,0.040093073737921175,0.39941907763863693
Politics,50,52.5,50-55,13,3,0.23076923076923078,0.5192307692307692,-0.2884615384615384,0.08179379092465713,0.5025687399512693
Politics,55,57.5,55-60,8,5,0.625,0.55875,0.06625000000000003,0.30573785458380187,0.863158240538479
Politics,60,62.5,60-65,11,7,0.6363636363636364,0.6218181818181818,0.014545454545454528,0.35379677689163724,0.8483377638586862
Politics,65,67.5,65-70,13,8,0.6153846153846154,0.67,-0.05461538461538462,0.35522480972268555,0.8229055341876319
Politics,70,72.5,70-75,9,4,0.4444444444444444,0.7177777777777777,-0.2733333333333333,0.188775429471914,0.7333526542559703
Politics,75,77.5,75-80,6,5,0.8333333333333334,0.7516666666666667,0.08166666666666667,0.43649056343635395,0.9699474141282697
Politics,80,82.5,80-85,14,14,1.0,0.8221428571428571,0.17785714285714294,0.7846829880728186,1.0
Politics,85,87.5,85-90,26,23,0.8846153846153846,0.8688461538461538,0.015769230769230758,0.7102370691310166,0.959968281788505
Politics,90,92.5,90-95,52,52,1.0,0.9228846153846153,0.0771153846153847,0.9312054095871178,1.0
Politics,95,97.5,95-100,2637,2635,0.9992415623814941,0.98773606370876,0.011505498672734094,0.9972386548070421,0.9997919887574941
Science/Tech,0,2.5,0-5,195,0,0.0,0.013897435897435896,-0.013897435897435896,0.0,0.019319900865814796
Science/Tech,5,7.5,5-10,29,1,0.034482758620689655,0.06310344827586208,-0.02862068965517242,0.006113056614032261,0.1717589106470025
Science/Tech,10,12.5,10-15,10,2,0.2,0.111,0.08900000000000001,0.056680947980693314,0.5098431532792765
Science/Tech,15,17.5,15-20,5,1,0.2,0.174,0.026000000000000023,0.03622316096978745,0.6244717358814613
Science/Tech,20,22.5,20-25,9,1,0.1111111111111111,0.2088888888888889,-0.0977777777777778,0.019890371327130535,0.4350062147680601
Science/Tech,25,27.5,25-30,4,1,0.25,0.2625,-0.012500000000000011,0.045586062644636216,0.6993639475573634
Science/Tech,30,32.5,30-35,4,1,0.25,0.3225,-0.07250000000000001,0.045586062644636216,0.6993639475573634
Science/Tech,35,37.5,35-40,4,2,0.5,0.3625,0.1375,0.15003570882017148,0.8499642911798285
Science/Tech,40,42.5,40-45,2,0,0.0,0.425,-0.425,0.0,0.6576280471103807
Science/Tech,45,47.5,45-50,2,2,1.0,0.465,0.5349999999999999,0.34237195288961925,1.0
Science/Tech,50,52.5,50-55,5,2,0.4,0.518,-0.118,0.1176182311592533,0.769280067791163
