platform,liquidity_quintile,liquidity_quintile_label,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,1,Q1 Lowest,65,67.5,65-70,455,295,0.6483516483516484,0.6694505494505495,-0.021098901098901113,0.6034017142685453,0.690817467252921
kalshi,1,Q1 Lowest,70,72.5,70-75,428,345,0.8060747663551402,0.7185981308411215,0.08747663551401874,0.7659621596604178,0.8407417799322476
kalshi,1,Q1 Lowest,75,77.5,75-80,450,357,0.7933333333333333,0.7685777777777778,0.02475555555555553,0.7535142306387096,0.8281865213417171
kalshi,1,Q1 Lowest,80,82.5,80-85,550,489,0.889090909090909,0.8179818181818181,0.0711090909090909,0.8601002760373431,0.9126838557432959
kalshi,1,Q1 Lowest,85,87.5,85-90,744,693,0.9314516129032258,0.8707123655913979,0.06073924731182789,0.9109896875111282,0.9474808763088037
kalshi,1,Q1 Lowest,90,92.5,90-95,1494,1461,0.9779116465863453,0.922342704149933,0.055568942436412305,0.9691425554598703,0.9842292830576336
kalshi,1,Q1 Lowest,95,97.5,95-100,5879,5777,0.9826501105630209,0.9799353631569996,0.0027147474060212895,0.9789834313406333,0.9856864316045121
kalshi,2,Q2 Low-Mid,0,2.5,0-5,53902,547,0.010148046454677007,0.01908370746911061,-0.008935661014433603,0.00933614990199338,0.011029761609904805
kalshi,2,Q2 Low-Mid,5,7.5,5-10,15939,541,0.033941903507120896,0.06663592446201143,-0.03269402095489053,0.031241078759698806,0.03686733172592001
kalshi,2,Q2 Low-Mid,10,12.5,10-15,7446,515,0.06916465216223476,0.11761214074670963,-0.04844748858447487,0.06362069748439535,0.07515293764900134
kalshi,2,Q2 Low-Mid,15,17.5,15-20,4926,478,0.09703613479496549,0.16869468128298823,-0.07165854648802274,0.08908111010431731,0.10561918209168349
kalshi,2,Q2 Low-Mid,20,22.5,20-25,4022,583,0.14495275982098457,0.21692441571357535,-0.07197165589259077,0.13441111297559147,0.15617200385642696
kalshi,2,Q2 Low-Mid,25,27.5,25-30,2772,515,0.18578643578643578,0.26976911976911977,-0.08398268398268399,0.1717458760787316,0.20069670133634854
kalshi,2,Q2 Low-Mid,30,32.5,30-35,2160,467,0.2162037037037037,0.31666666666666665,-0.10046296296296295,0.19935514036739096,0.234059948796252
kalshi,2,Q2 Low-Mid,35,37.5,35-40,1705,456,0.26744868035190617,0.36914956011730204,-0.10170087976539588,0.24697824901721402,0.28896469619198506
