platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2021-11,20,22.5,20-25,2,0,0.0,0.22,-0.22,0.0,0.6576280471103807
kalshi,2021-11,25,27.5,25-30,1,0,0.0,0.25,-0.25,0.0,0.7934567085261071
kalshi,2021-11,30,32.5,30-35,1,0,0.0,0.3,-0.3,0.0,0.7934567085261071
kalshi,2021-11,35,37.5,35-40,2,2,1.0,0.38,0.62,0.34237195288961925,1.0
kalshi,2021-11,40,42.5,40-45,4,2,0.5,0.4175,0.08250000000000002,0.15003570882017148,0.8499642911798285
kalshi,2021-11,45,47.5,45-50,1,1,1.0,0.46,0.54,0.20654329147389294,1.0
kalshi,2021-11,55,57.5,55-60,1,0,0.0,0.57,-0.57,0.0,0.7934567085261071
kalshi,2021-11,60,62.5,60-65,1,0,0.0,0.61,-0.61,0.0,0.7934567085261071
kalshi,2021-11,65,67.5,65-70,2,1,0.5,0.67,-0.17000000000000004,0.09452865480086614,0.9054713451991339
kalshi,2021-11,70,72.5,70-75,1,0,0.0,0.73,-0.73,0.0,0.7934567085261071
kalshi,2021-11,80,82.5,80-85,2,1,0.5,0.805,-0.30500000000000005,0.09452865480086614,0.9054713451991339
kalshi,2021-11,85,87.5,85-90,3,2,0.6666666666666666,0.86,-0.19333333333333336,0.2076549551264879,0.9385096847238394
kalshi,2021-11,90,92.5,90-95,6,5,0.8333333333333334,0.915,-0.08166666666666667,0.43649056343635395,0.9699474141282697
kalshi,2021-11,95,97.5,95-100,121,121,1.0,0.985702479338843,0.01429752066115697,0.969228205982621,0.9999999999999999
kalshi,2021-12,0,2.5,0-5,91,0,0.0,0.015274725274725273,-0.015274725274725273,0.0,0.04050543221539915
kalshi,2021-12,5,7.5,5-10,17,2,0.11764705882352941,0.06823529411764706,0.04941176470588235,0.03287908001292092,0.3433684249770991
kalshi,2021-12,10,12.5,10-15,7,0,0.0,0.11571428571428571,-0.11571428571428571,0.0,0.35433884297520657
kalshi,2021-12,15,17.5,15-20,2,1,0.5,0.18,0.32,0.09452865480086614,0.9054713451991339
kalshi,2021-12,20,22.5,20-25,1,0,0.0,0.21,-0.21,0.0,0.7934567085261071
kalshi,2021-12,25,27.5,25-30,3,0,0.0,0.27,-0.27,0.0,0.5615060804490177
kalshi,2021-12,30,32.5,30-35,2,0,0.0,0.32,-0.32,0.0,0.6576280471103807
kalshi,2021-12,35,37.5,35-40,4,1,0.25,0.3875,-0.1375,0.045586062644636216,0.6993639475573634
kalshi,2021-12,40,42.5,40-45,2,1,0.5,0.43,0.07,0.09452865480086614,0.9054713451991339
kalshi,2021-12,45,47.5,45-50,1,0,0.0,0.46,-0.46,0.0,0.7934567085261071
kalshi,2021-12,60,62.5,60-65,3,3,1.0,0.6133333333333334,0.3866666666666666,0.43849391955098227,1.0
kalshi,2021-12,65,67.5,65-70,2,2,1.0,0.665,0.33499999999999996,0.34237195288961925,1.0
kalshi,2021-12,70,72.5,70-75,1,0,0.0,0.72,-0.72,0.0,0.7934567085261071
kalshi,2021-12,75,77.5,75-80,2,2,1.0,0.77,0.22999999999999998,0.34237195288961925,1.0
kalshi,2021-12,80,82.5,80-85,3,3,1.0,0.8166666666666668,0.18333333333333324,0.43849391955098227,1.0
kalshi,2021-12,85,87.5,85-90,3,3,1.0,0.87,0.13,0.43849391955098227,1.0
kalshi,2021-12,90,92.5,90-95,6,6,1.0,0.92,0.07999999999999996,0.6096569663469354,0.9999999999999999
kalshi,2021-12,95,97.5,95-100,121,121,1.0,0.9871900826446282,0.012809917355371847,0.969228205982621,0.9999999999999999
kalshi,2022-01,0,2.5,0-5,105,0,0.0,0.016761904761904763,-0.016761904761904763,0.0,0.035295328256842964
kalshi,2022-01,5,7.5,5-10,9,0,0.0,0.06666666666666667,-0.06666666666666667,0.0,0.2991527535509594
kalshi,2022-01,10,12.5,10-15,6,0,0.0,0.125,-0.125,0.0,0.3903430336530645
kalshi,2022-01,15,17.5,15-20,4,0,0.0,0.1775,-0.1775,0.0,0.48990002040399916
kalshi,2022-01,20,22.5,20-25,3,1,0.3333333333333333,0.22333333333333333,0.10999999999999999,0.0614903152761605,0.7923450448735121
kalshi,2022-01,25,27.5,25-30,2,2,1.0,0.28,0.72,0.34237195288961925,1.0
kalshi,2022-01,30,32.5,30-35,1,0,0.0,0.31,-0.31,0.0,0.7934567085261071
kalshi,2022-01,35,37.5,35-40,4,2,0.5,0.375,0.125,0.15003570882017148,0.8499642911798285
kalshi,2022-01,40,42.5,40-45,1,1,1.0,0.43,0.5700000000000001,0.20654329147389294,1.0
kalshi,2022-01,45,47.5,45-50,2,1,0.5,0.465,0.034999999999999976,0.09452865480086614,0.9054713451991339
kalshi,2022-01,50,52.5,50-55,5,3,0.6,0.514,0.08599999999999997,0.23071993220883708,0.8823817688407467
kalshi,2022-01,55,57.5,55-60,1,1,1.0,0.59,0.41000000000000003,0.20654329147389294,1.0
kalshi,2022-01,60,62.5,60-65,2,1,0.5,0.62,-0.12,0.09452865480086614,0.9054713451991339
kalshi,2022-01,65,67.5,65-70,2,1,0.5,0.675,-0.17500000000000004,0.09452865480086614,0.9054713451991339
kalshi,2022-01,70,72.5,70-75,6,2,0.3333333333333333,0.7066666666666667,-0.37333333333333335,0.09676933255921683,0.7000116786584712
kalshi,2022-01,75,77.5,75-80,5,5,1.0,0.768,0.23199999999999998,0.5655085052479191,1.0
kalshi,2022-01,85,87.5,85-90,4,3,0.75,0.865,-0.11499999999999999,0.3006360524426366,0.9544139373553637
kalshi,2022-01,90,92.5,90-95,10,10,1.0,0.9179999999999999,0.08200000000000007,0.7224598312333834,1.0
kalshi,2022-01,95,97.5,95-100,125,125,1.0,0.98464,0.01536000000000004,0.9701835432034374,1.0
kalshi,2022-02,0,2.5,0-5,144,0,0.0,0.015555555555555555,-0.015555555555555555,0.0,0.025984567266588023
kalshi,2022-02,5,7.5,5-10,13,0,0.0,0.06692307692307692,-0.06692307692307692,0.0,0.22810184305529166
kalshi,2022-02,10,12.5,10-15,6,0,0.0,0.11166666666666666,-0.11166666666666666,0.0,0.3903430336530645
kalshi,2022-02,15,17.5,15-20,4,1,0.25,0.1525,0.0975,0.045586062644636216,0.6993639475573634
kalshi,2022-02,20,22.5,20-25,2,0,0.0,0.225,-0.225,0.0,0.6576280471103807
kalshi,2022-02,25,27.5,25-30,2,0,0.0,0.27,-0.27,0.0,0.6576280471103807
kalshi,2022-02,30,32.5,30-35,5,2,0.4,0.316,0.08400000000000002,0.1176182311592533,0.769280067791163
kalshi,2022-02,35,37.5,35-40,1,1,1.0,0.39,0.61,0.20654329147389294,1.0
kalshi,2022-02,40,42.5,40-45,1,0,0.0,0.41,-0.41,0.0,0.7934567085261071
kalshi,2022-02,45,47.5,45-50,2,2,1.0,0.475,0.525,0.34237195288961925,1.0
kalshi,2022-02,55,57.5,55-60,2,1,0.5,0.57,-0.06999999999999995,0.09452865480086614,0.9054713451991339
kalshi,2022-02,60,62.5,60-65,2,2,1.0,0.61,0.39,0.34237195288961925,1.0
kalshi,2022-02,65,67.5,65-70,1,1,1.0,0.69,0.31000000000000005,0.20654329147389294,1.0
kalshi,2022-02,70,72.5,70-75,2,2,1.0,0.71,0.29000000000000004,0.34237195288961925,1.0
kalshi,2022-02,75,77.5,75-80,5,4,0.8,0.77,0.030000000000000027,0.3755282641185388,0.9637768390302125
kalshi,2022-02,80,82.5,80-85,3,2,0.6666666666666666,0.83,-0.16333333333333333,0.2076549551264879,0.9385096847238394
kalshi,2022-02,85,87.5,85-90,6,5,0.8333333333333334,0.8766666666666667,-0.043333333333333335,0.43649056343635395,0.9699474141282697
