category_group,category_mid,horizon_label,horizon_hours,freshness_filter,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,baseline_market_count,retained_share
Crypto,Other Crypto,6h,6.0,<=6h,2174,20,0.034259429622815085,-0.007203311867525309,0.017332015810276685,-0.021775147928994102,3327,0.6534415389239555
Crypto,Other Crypto,6h,6.0,<=24h,3295,20,0.03672534142640365,-0.00600000000000001,0.04552564102564102,-0.025096153846153893,3327,0.9903817252780283
Crypto,Other Crypto,1h,1.0,all,4077,20,0.048712288447387786,-0.01923963698798136,0.0044397993311036795,6.956521739132758e-05,4077,1.0
Crypto,Other Crypto,1h,1.0,<=1h,1401,20,0.03506780870806569,-0.005745895788722355,-0.023125,-0.025219780219780268,4077,0.34363502575423105
Crypto,Other Crypto,1h,1.0,<=6h,3057,20,0.04175335296041872,-0.018495256787700354,-0.0019134396355353189,-0.008110047846889932,4077,0.7498160412067697
Crypto,Other Crypto,1h,1.0,<=24h,4043,20,0.04900074202325006,-0.020012367054167705,0.003522920203735145,-0.0006537102473498345,4077,0.9916605347068923
Entertainment,Awards,30d,720.0,all,1003,20,0.038703888334995024,-0.029192422731804595,-0.015045317220543808,0.046222222222222206,1003,1.0
Entertainment,Awards,7d,168.0,all,1373,20,0.03691915513474144,-0.025950473415877643,-0.02434640522875817,0.03452054794520549,1373,1.0
Entertainment,Awards,3d,72.0,all,1606,20,0.037683686176836866,-0.0288293897882939,-0.020830223880597014,-0.0011494252873563025,1606,1.0
Entertainment,Awards,1d,24.0,all,1749,20,0.04436249285305889,-0.03355631789594054,-0.02343722943722944,0.031018518518518497,1749,1.0
Entertainment,Awards,6h,6.0,all,1859,20,0.04637439483593329,-0.03966110812264658,-0.025810055865921784,-0.023096774193548403,1859,1.0
Entertainment,Awards,6h,6.0,<=24h,1126,20,0.053197158081705165,-0.04346358792184724,-0.024506828528072837,-0.03098591549295776,1859,0.6057019903173749
Entertainment,Awards,1h,1.0,all,1884,20,0.04686836518046708,-0.039745222929936305,-0.023695987654320988,-0.02484042553191491,1884,1.0
Entertainment,Awards,1h,1.0,<=24h,1207,20,0.05253521126760563,-0.042924606462303234,-0.019230769230769232,-0.030738636363636405,1884,0.6406581740976646
Entertainment,Movies,7d,168.0,all,1086,20,0.04666666666666666,-0.03981583793738488,-0.023835616438356168,-0.002404692082111359,1086,1.0
Entertainment,Movies,3d,72.0,all,1380,20,0.031159420289855067,0.005449275362318833,-0.013115318416523237,0.016338289962825263,1380,1.0
Entertainment,Movies,3d,72.0,<=24h,1008,20,0.03560515873015872,0.010763888888888887,-0.00941176470588235,0.018970189701897004,1380,0.7304347826086957
Entertainment,Movies,1d,24.0,all,1460,20,0.02592465753424657,-0.005554794520547945,-0.01883582089552239,0.015240310077519378,1460,1.0
Entertainment,Movies,6h,6.0,all,1493,20,0.023369055592766242,0.003945077026121906,-0.013831775700934579,0.019356725146198836,1493,1.0
Entertainment,Movies,1h,1.0,all,1495,18,0.022615384615384565,0.0017056856187290458,-0.017555847568988172,0.01889526542324236,1495,1.0
Entertainment,Music,1d,24.0,all,1003,20,0.043818544366899304,-0.023220338983050853,-0.02646058732612056,0.0293478260869565,1003,1.0
Entertainment,Music,6h,6.0,all,1032,19,0.033294573643410846,-0.016027131782945746,-0.02181179775280899,0.02142307692307689,1032,1.0
Entertainment,Music,1h,1.0,all,1035,17,0.030734299516908196,-0.012995169082125613,-0.022912087912087913,0.027566539923954327,1035,1.0
Entertainment,Other Entertainment,6h,6.0,all,1243,20,0.02468222043443282,-0.014625905068382945,-0.0031424148606811163,-0.0145219638242894,1243,1.0
Entertainment,Other Entertainment,6h,6.0,<=24h,1145,20,0.025510917030567667,-0.013021834061135355,0.0005366726296958842,-0.014817708333333282,1243,0.9211584875301689
Entertainment,Other Entertainment,1h,1.0,all,1253,20,0.024126097366320827,-0.01292098962490024,-0.019095966620305983,-0.0013636363636363622,1253,1.0
Entertainment,Other Entertainment,1h,1.0,<=24h,1151,20,0.022945264986967848,-0.011112076455256295,-0.01821371610845295,-0.0014155251141552453,1253,0.9185953711093376
Entertainment,Spotify,1d,24.0,all,1764,20,0.028373015873015862,-0.012658730158730156,-0.006631823461091754,-0.022515090543259536,1764,1.0
Entertainment,Spotify,1d,24.0,<=24h,1333,20,0.04102025506376595,-0.014118529632408108,-0.0016643356643356623,-0.05460481099656363,1764,0.7556689342403629
Entertainment,Spotify,6h,6.0,all,3398,20,0.01828428487345497,-0.013487345497351385,-0.0055028660760812935,-0.004746696035242301,3398,1.0
Entertainment,Spotify,6h,6.0,<=1h,1134,20,0.03541446208112875,-0.018130511463844794,0.00919230769230769,-0.015974025974025984,3398,0.3337257210123602
Entertainment,Spotify,6h,6.0,<=6h,2234,20,0.023325872873769013,-0.012967770814682167,0.0025864909390444835,-0.01459219858156025,3398,0.657445556209535
Entertainment,Spotify,6h,6.0,<=24h,2898,20,0.018844030365769475,-0.013253968253968238,-0.0025279247501469723,-0.014191702432045697,3398,0.8528546203649205
Entertainment,Spotify,1h,1.0,all,3612,20,0.015299003322259124,-0.012735326688815047,-0.005990543735224585,-0.00860392967942085,3612,1.0
Entertainment,Spotify,1h,1.0,<=1h,1246,20,0.032656500802568225,-0.012158908507223128,0.012859560067681894,-0.03579250720461099,3612,0.3449612403100775
Entertainment,Spotify,1h,1.0,<=6h,2210,20,0.0227285067873303,-0.009325791855203606,0.005793780687397708,-0.02371929824561398,3612,0.6118493909191584
Entertainment,Spotify,1h,1.0,<=24h,3084,20,0.014348249027237346,-0.012046044098573273,-0.0028250401284109147,-0.01826948480845441,3612,0.8538205980066446
Finance,Bonds,6h,6.0,all,1912,20,0.037180962343096244,8.891213389121243e-05,0.004847020933977456,-0.3720967741935484,1912,1.0
Finance,Bonds,6h,6.0,<=24h,1455,20,0.04056357388316151,0.016384879725085906,0.013305978898007033,-0.3346875,1912,0.7609832635983264
Finance,Bonds,1h,1.0,all,2300,20,0.05889130434782608,-0.033613043478260864,-0.03158544955387783,-0.285974025974026,2300,1.0
Finance,Bonds,1h,1.0,<=6h,1462,20,0.06393980848153215,-0.019562243502051983,-0.043333333333333335,0.003999999999999927,2300,0.6356521739130435
Finance,Bonds,1h,1.0,<=24h,1864,20,0.058841201716738206,-0.02403433476394849,-0.031109057301293902,-0.18104166666666657,2300,0.8104347826086956
Finance,Commodities,1d,24.0,all,1224,20,0.027851307189542474,0.005808823529411755,0.009101978691019788,0.016631944444444394,1224,1.0
Finance,Commodities,6h,6.0,all,2124,20,0.021299435028248596,0.01233521657250471,0.009884169884169878,0.01710097719869713,2124,1.0
Finance,Commodities,6h,6.0,<=24h,1626,20,0.026537515375153756,0.013056580565805654,0.015172890733056707,0.01448863636363638,2124,0.7655367231638418
Finance,Commodities,1h,1.0,all,2752,20,0.053183139534883746,-0.02732558139534884,-0.03909422936449964,-0.00533333333333342,2752,1.0
Finance,Commodities,1h,1.0,<=1h,1188,20,0.05955387205387205,-0.005530303030303026,-0.02827160493827161,-0.031044776119402966,2752,0.4316860465116279
Finance,Commodities,1h,1.0,<=6h,2132,20,0.0628658536585366,-0.030492495309568483,-0.04098078867542973,-0.036778523489933,2752,0.7747093023255814
Finance,Commodities,1h,1.0,<=24h,2363,20,0.06005078290308928,-0.031146847228099864,-0.04206167400881058,-0.027835051546391664,2752,0.8586482558139535
Finance,Economic Indicators,30d,720.0,all,1198,20,0.04086811352253757,-0.0041569282136894765,0.016876971608832805,0.008474576271186437,1198,1.0
Finance,Economic Indicators,7d,168.0,all,1939,20,0.029149045899948423,0.00018566271273850457,-0.004503311258278146,0.01690355329949233,1939,1.0
Finance,Economic Indicators,3d,72.0,all,1986,20,0.030226586102719007,-0.007366565961732145,0.006628849270664506,0.009278846153846089,1986,1.0
