category_group,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Politics,6h,6.0,<=24h,40,42.5,40-45,83,36,0.43373493975903615,0.4181927710843374,0.015542168674698764,0.33238992463542916,0.5409426717239195
Politics,6h,6.0,<=24h,45,47.5,45-50,81,34,0.41975308641975306,0.46802469135802466,-0.048271604938271595,0.3183079093457035,0.528465371686243
Politics,6h,6.0,<=24h,50,52.5,50-55,85,38,0.4470588235294118,0.5183529411764706,-0.07129411764705879,0.34593481844164153,0.5527612878869254
Politics,6h,6.0,<=24h,55,57.5,55-60,104,60,0.5769230769230769,0.5688461538461539,0.008076923076922982,0.4808963374391583,0.6674694138108231
Politics,6h,6.0,<=24h,60,62.5,60-65,131,75,0.5725190839694656,0.6209160305343512,-0.04839694656488558,0.486925365253153,0.6539807052770098
Politics,6h,6.0,<=24h,65,67.5,65-70,125,79,0.632,0.6683199999999999,-0.03631999999999991,0.5446970725427289,0.7114313828629786
Politics,6h,6.0,<=24h,70,72.5,70-75,112,74,0.6607142857142857,0.7199107142857143,-0.059196428571428594,0.5689989507563177,0.7417702375145626
Politics,6h,6.0,<=24h,75,77.5,75-80,122,93,0.7622950819672131,0.7695081967213114,-0.00721311475409836,0.6794835556059362,0.8290923048408476
Politics,6h,6.0,<=24h,80,82.5,80-85,113,95,0.8407079646017699,0.8206194690265487,0.020088495575221188,0.7622115153455369,0.8968003434444831
Politics,6h,6.0,<=24h,85,87.5,85-90,111,93,0.8378378378378378,0.8713513513513513,-0.033513513513513504,0.7581803433040711,0.8948931074315508
Politics,6h,6.0,<=24h,90,92.5,90-95,102,96,0.9411764705882353,0.9180392156862744,0.023137254901960835,0.8775625496622301,0.972764731860347
Politics,6h,6.0,<=24h,95,97.5,95-100,1266,1263,0.9976303317535545,0.9863665086887836,0.011263823064770917,0.9930559485693486,0.9991937934457185
Politics,1h,1.0,all,0,2.5,0-5,3652,7,0.0019167579408543264,0.012198795180722892,-0.010282037239868565,0.0009287828363428196,0.003951516135034933
Politics,1h,1.0,all,5,7.5,5-10,216,5,0.023148148148148147,0.0636574074074074,-0.04050925925925925,0.009926951496738449,0.053034744560786606
Politics,1h,1.0,all,10,12.5,10-15,95,5,0.05263157894736842,0.11599999999999999,-0.06336842105263157,0.022687778480124224,0.11735042405807834
Politics,1h,1.0,all,15,17.5,15-20,66,7,0.10606060606060606,0.16772727272727272,-0.06166666666666666,0.05233280771918242,0.20312525738814619
Politics,1h,1.0,all,20,22.5,20-25,46,12,0.2608695652173913,0.21304347826086956,0.04782608695652174,0.15600735194449333,0.402594298082793
Politics,1h,1.0,all,25,27.5,25-30,36,10,0.2777777777777778,0.2688888888888889,0.00888888888888889,0.15848170025813796,0.43992800216345146
Politics,1h,1.0,all,30,32.5,30-35,29,7,0.2413793103448276,0.31482758620689655,-0.07344827586206895,0.12218268185062131,0.4210795221832869
Politics,1h,1.0,all,35,37.5,35-40,34,11,0.3235294117647059,0.3673529411764706,-0.043823529411764706,0.19131451326458573,0.4915741595188061
Politics,1h,1.0,all,40,42.5,40-45,23,4,0.17391304347826086,0.42130434782608694,-0.24739130434782608,0.06978540350612772,0.37138054785295666
Politics,1h,1.0,all,45,47.5,45-50,24,7,0.2916666666666667,0.4691666666666666,-0.17749999999999994,0.14914460334164278,0.49168063658709704
Politics,1h,1.0,all,50,52.5,50-55,24,6,0.25,0.5141666666666667,-0.26416666666666666,0.1199920347934233,0.4489982531210644
Politics,1h,1.0,all,55,57.5,55-60,16,8,0.5,0.56625,-0.06625000000000003,0.2799923761135083,0.7200076238864916
Politics,1h,1.0,all,60,62.5,60-65,24,11,0.4583333333333333,0.6208333333333333,-0.16250000000000003,0.2789105835168143,0.6492544644689336
Politics,1h,1.0,all,65,67.5,65-70,27,13,0.48148148148148145,0.6688888888888889,-0.1874074074074074,0.3074295064970908,0.6601467541378958
Politics,1h,1.0,all,70,72.5,70-75,18,13,0.7222222222222222,0.7188888888888889,0.0033333333333332993,0.49126922453805477,0.8750043085364452
Politics,1h,1.0,all,75,77.5,75-80,19,12,0.631578947368421,0.756842105263158,-0.12526315789473697,0.4103915749815672,0.8085072762372616
Politics,1h,1.0,all,80,82.5,80-85,29,24,0.8275862068965517,0.8182758620689655,0.009310344827586192,0.6545119942718488,0.9240225472852007
Politics,1h,1.0,all,85,87.5,85-90,36,31,0.8611111111111112,0.8733333333333333,-0.012222222222222134,0.7134014871960681,0.9391827463688489
