platform,close_month,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,month_start
kalshi,2023-09,1552,20,0.030302835051546403,-0.015599226804123721,-0.023015873015873014,0.002448979591836706,2023-09-01
polymarket,2023-09,117,18,0.11641447099203328,-0.03809733587291293,0.00140044471003787,-0.03405349368428407,2023-09-01
kalshi,2023-10,1661,20,0.030012040939193248,-0.0015713425647200542,-0.01695516162669447,0.02162721893491121,2023-10-01
polymarket,2023-10,151,20,0.11645785842766077,0.022718756461880246,0.007077005350129628,0.04462123555714072,2023-10-01
kalshi,2023-11,1405,20,0.03711743772241993,-0.00407829181494661,-0.019839786381842455,0.016809210526315822,2023-11-01
polymarket,2023-11,122,20,0.11391441567855239,0.009401013543453674,-0.023935942518875427,-0.019933163180637876,2023-11-01
kalshi,2023-12,1416,20,0.029491525423728807,-0.008728813559322037,-0.016266829865361074,0.011546052631578917,2023-12-01
polymarket,2023-12,213,17,0.051411124623053445,-0.0008157594591344213,-0.01866933488170397,-0.0013776154556302954,2023-12-01
kalshi,2024-01,1598,20,0.02916145181476847,-0.01337922403003753,-0.018201058201058197,0.014545454545454615,2024-01-01
polymarket,2024-01,203,20,0.060958104429032565,-0.013549683144021165,-0.004931778455270115,-0.013441859883484439,2024-01-01
kalshi,2024-02,1540,20,0.037032467532467535,-0.011279220779220778,-0.01906214689265537,0.02653631284916201,2024-02-01
polymarket,2024-02,212,18,0.049270130521061564,-0.016672580554843143,-0.01150119148990487,-0.054244117741275286,2024-02-01
kalshi,2024-03,2125,20,0.034108235294117654,-0.013505882352941175,-0.024516871165644178,0.01888655462184876,2024-03-01
polymarket,2024-03,347,20,0.04428120262637337,-0.0294769040851042,-0.007246278188201612,-0.039245628106459894,2024-03-01
kalshi,2024-04,2885,20,0.033667244367417665,-0.012128249566724435,-0.01773892773892774,0.013731778425655981,2024-04-01
polymarket,2024-04,372,20,0.039618834158668,-0.0009477002608933009,-0.002612707239724411,-0.02633844253148779,2024-04-01
kalshi,2024-05,2470,20,0.035291497975708505,-0.005372469635627533,-0.02216402481047554,0.024380032206119173,2024-05-01
polymarket,2024-05,490,20,0.04189894215989661,-0.015192839976871849,-0.001212922234377207,-0.020736983597903047,2024-05-01
kalshi,2024-06,2745,20,0.03802550091074681,-0.019963570127504555,-0.03218417945690673,0.021482142857142842,2024-06-01
polymarket,2024-06,847,20,0.04853805692573354,-0.00551090402614342,0.010326328855421268,-0.05700768849105734,2024-06-01
kalshi,2024-07,3072,20,0.03622070312500001,-0.018779296875,-0.02411142061281337,0.008878865979381461,2024-07-01
polymarket,2024-07,781,20,0.058235858011710454,-0.03798066932068477,-0.004453199466161807,-0.143025675113781,2024-07-01
kalshi,2024-08,2568,20,0.022141744548286577,-0.009820872274143277,-0.013313686967910937,0.00046639231824427527,2024-08-01
polymarket,2024-08,1302,20,0.03505133792074468,-0.029340079875638657,-0.009855833778944903,-0.041128776181264017,2024-08-01
kalshi,2024-09,1904,20,0.024711134453781536,-0.007358193277310908,-0.014730639730639731,0.008000000000000071,2024-09-01
polymarket,2024-09,1581,20,0.030451077642997555,-0.023670813832138884,-0.003383133615668198,-0.009650380859395624,2024-09-01
kalshi,2024-10,2065,20,0.0342324455205811,-0.01827118644067798,-0.024169520547945203,0.01686006825938562,2024-10-01
polymarket,2024-10,2073,20,0.02485357513128887,-0.012664133055105043,-0.007060208812209033,-0.0077123358472238725,2024-10-01
kalshi,2024-11,4493,20,0.014093033607834418,-0.010215891386601388,-0.011406807131280389,0.0025266611977030093,2024-11-01
polymarket,2024-11,2304,20,0.021587026718940815,-0.00953752371506215,-0.0076872403316448346,0.0033935565935788465,2024-11-01
kalshi,2024-12,10492,20,0.03683377811666032,-0.02070720548989707,-0.02348517940717629,0.020010073875083946,2024-12-01
polymarket,2024-12,2126,20,0.015139514066948932,-0.0021302467062918823,0.00022191720656272254,-0.0051101443755936695,2024-12-01
kalshi,2025-01,13390,20,0.038705750560119496,-0.020144137415982064,-0.02628090874858793,0.020586450960566244,2025-01-01
polymarket,2025-01,2269,20,0.019511491791412906,-0.00104111202823689,0.0029642427335593957,-0.009521715092336232,2025-01-01
kalshi,2025-02,13382,20,0.03534225078463606,-0.02406292034075626,-0.02475793650793651,0.015668519989409536,2025-02-01
polymarket,2025-02,3106,20,0.026832249479087415,-0.011265647105595836,-0.003483608721272383,-0.018877066204141747,2025-02-01
kalshi,2025-03,15254,20,0.04732594729251342,-0.023726891307198104,-0.028497008973080752,0.022800088750832025,2025-03-01
polymarket,2025-03,3790,20,0.01694048861623915,-0.008526200574860103,-0.0017439099553719227,0.003602529565721349,2025-03-01
kalshi,2025-04,16529,20,0.0442428459071934,-0.015097707060318257,-0.0287267577884497,0.026750749691303498,2025-04-01
polymarket,2025-04,3614,20,0.016585138963811547,-0.00475799820714969,3.774436371615592e-05,-0.009959294326443845,2025-04-01
kalshi,2025-05,19038,20,0.042421998109045095,-0.014533564450047243,-0.027699680511182108,0.02625019022979769,2025-05-01
polymarket,2025-05,4678,20,0.016759648818801487,-0.005764553489314714,0.004802638253591436,-0.0074845079533959035,2025-05-01
kalshi,2025-06,17044,20,0.038926895095048084,-0.015814949542360974,-0.028605138383504248,0.02169298245614027,2025-06-01
polymarket,2025-06,6986,20,0.010183305327927392,-0.0034828598381245156,-0.0030770031931484556,-0.0023504301384254358,2025-06-01
kalshi,2025-07,19127,20,0.03869660689078268,-0.0195686725571182,-0.027218934911242606,0.020444302381332942,2025-07-01
polymarket,2025-07,7926,20,0.008308374425889872,-0.002015056733426254,-0.0038003153750329286,0.005319544084008711,2025-07-01
kalshi,2025-08,21196,20,0.039300811473862995,-0.021037931685223624,-0.026716282446905066,0.015752035423510936,2025-08-01
polymarket,2025-08,9221,20,0.007463993503230842,-0.0028496860237406546,-0.003342052286834615,0.0017870112181350877,2025-08-01
kalshi,2025-09,26591,20,0.04011846113346619,-0.027843631303824615,-0.028507014727437704,0.013772985244040824,2025-09-01
polymarket,2025-09,22571,20,0.01582377818605999,-0.006971597962093322,-0.009739181895284818,0.004735222878229639,2025-09-01
kalshi,2025-10,137345,20,0.018166514980523497,-0.014996978412028105,-0.009898504164194069,0.011718354430379746,2025-10-01
polymarket,2025-10,25100,20,0.008423704353273491,-0.002719010473296484,-0.005494777360032843,0.00042803854675224406,2025-10-01
kalshi,2025-11,187456,20,0.027330413537043366,-0.026396007596449295,-0.018746328065331063,0.004236721859185408,2025-11-01
polymarket,2025-11,40093,20,0.01020009744125056,-0.007612834988130805,-0.0017478322253715406,-0.006509802887620582,2025-11-01
polymarket,2025-12,46221,20,0.005869727616750198,-0.005102483733326315,-0.0016037169856653898,-0.00508974954751569,2025-12-01
polymarket,2026-01,59172,20,0.007621059957858393,-0.00530963345999133,-0.0002636829337449235,-0.004414329086720079,2026-01-01
polymarket,2026-02,4509,20,0.012060536902863817,-0.0023005696193617526,0.004609739334826301,-0.007916394832279242,2026-02-01
polymarket,2026-03,373,19,0.06829411652909818,0.06255754798774367,0.0035986611273490557,0.004808950108924178,2026-03-01
polymarket,2026-04,204,10,0.019938996471449814,-0.014410293444516572,-0.00034684672969889174,-0.050535902731034206,2026-04-01
polymarket,2026-05,63,2,0.0012857142857142438,-0.0011904761904761698,-0.0012999999999999672,0.0009999999999997788,2026-05-01
polymarket,2026-06,74,10,0.03602511727910746,0.03084561257816651,-0.004913889075251667,0.005864893868540662,2026-06-01
polymarket,2026-07,80,2,0.001052205882352914,-0.0007772058823529111,-0.0010306545153272255,0.0012222222222222356,2026-07-01
polymarket,2026-08,27,2,0.0018148148148147743,-0.0007777777777777363,-0.0013999999999999558,0.007000000000000006,2026-08-01
polymarket,2026-11,9,4,0.03858898472585523,-0.03636676250363301,-0.016285708564285368,0.010000000000000009,2026-11-01
polymarket,2026-12,214,7,0.0075080438576995215,-0.0031811289995167993,-0.0055450086960589905,0.005324497245638782,2026-12-01
polymarket,2027-01,303,15,0.018965012534229737,0.010200285728274484,-0.0036888282247254066,0.007630105561634173,2027-01-01
